"year","title","authors","source","volume","issue","doi","document_type","language"
2023,"BIOTOXIN UPTAKE, RETENTION, AND DEPURATION TRENDS IN PURPLE-HINGED ROCK SCALLOPS, CRASSADOMA GIGANTEA (GRAY 1825)","Houle, KC; Bill, BD; Christy, A; Davis, JP; Leighfield, TA; Morton, SL; Shumway, SE; Trainer, VL; Vadopalas, B; Hudson, B","Journal of Shellfish Research","42","2","10.2983/035.042.0209","Article","English"
2024,"Marine toxins in environment: Recent updates on depuration techniques","Bian, Y; Feng, XS; Zhang, Y; Du, C; Wen, YQ","Ecotoxicology and Environmental Safety","284",NA,"10.1016/j.ecoenv.2024.116990","Review","English"
2015,"Depuration of paralytic shellfish toxins in Japanese scallop (Patinopecten yessoensis) in natural environment","Song, T; Liu, L; Song, XP; Liang, YB; Zhuang, GH","Acta Oceanologica Sinica","34","12","10.1007/s13131-015-0764-y","Article","English"
2004,"Accumulation and depuration of cyanobacterial paralytic shellfish toxins by the freshwater mussel Anodonta cygnea","Pereira, P; Dias, E; Franca, S; Pereira, E; Carolino, M; Vasconcelos, V","Aquatic Toxicology","68","4","10.1016/j.aquatox.2004.04.001","Article","English"
2013,"Accumulation and depuration of paralytic shellfish poisoning toxins in the oyster Ostrea rivularis Gould - Chitosan facilitates the toxin depuration","Xie, WC; Liu, XL; Yang, XH; Zhang, CH; Bian, ZY","Food Control","30","2","10.1016/j.foodcont.2012.07.035","Article","English"
2005,"Uptake and depuration of paralytic shellfish toxins in the greenlipped mussel, Perna viridis:: A dynamic model","Li, AMY; Yu, PKN; Hsieh, DPH; Wang, WX; Wu, RSS; Lam, PKS","Environmental Toxicology and Chemistry","24","1","10.1897/03-397.1","Article","English"
2018,"Experimental uptake and depuration of paralytic shellfish toxins in Southern Rock Lobster, Jasus edwardsii","Madigan, T; Malhi, N; Tan, J; McLeod, C; Stewart, I; Harwood, T; Mann, G; Turnbull, A","Toxicon","143",NA,"10.1016/j.toxicon.2018.01.001","Article","English"
2021,"Chitosan performance during Paralytic Shellfish Toxins (PST) depuration of Mytilus chilensis exposed to Alexandrium catenella","Tobke, J; Giarratano, E; Ortiz, A; Garrido, C; Serra, M; Gil, MN; Navarro, JM","Toxicon","195",NA,"10.1016/j.toxicon.2021.03.008","Article","English"
2011,"Bioaccumulation and depuration of paralytic shellfish toxin in Perna viridis and Meretrix meretrix from Mumbai, India","Sharma, R; Venkateshvaran, K; Purushothaman, CS","Indian Journal of Geo-Marine Sciences","40","4",NA,"Article","English"
2012,"Uptake and release of paralytic shellfish toxins by the clam Ruditapes decussatus exposed to Gymnodinium catenatum and subsequent depuration","Botelho, MJ; Vale, C; Grilo, RV; Ferreira, JG","Marine Environmental Research","77",NA,"10.1016/j.marenvres.2012.01.002","Article","English"
2003,"Depuration of Okadaic acid (Diarrhetic Shellfish Toxin) in mussels, Mytilus edulis (Linnaeus), feeding on different quantities of nontoxic algae","Svensson, S","Aquaculture","218","1-4","10.1016/S0044-8486(02)00504-5","Article","English"
2005,"Accumulation and depuration rates of paralytic shellfish poisoning toxins in the shore crab Telmessus acutidens by feeding toxic mussels under laboratory controlled conditions","Oikawa, H; Satomi, M; Watabe, S; Yano, Y","Toxicon","45","2","10.1016/j.toxicon.2004.10.004","Article","English"
2003,"Depuration kinetics and persistence of the cyanobacterial toxin microcystin-LR in the freshwater bivalve Unio douglasiae","Yokoyama, A; Park, HD","Environmental Toxicology","18","1","10.1002/tox.10102","Article","English"
2001,"Accumulation and depuration of paralytic shellfish poisoning toxins by purple clam Hiatula rostrata Lighttoot","Chen, CY; Chou, HN","Toxicon","39","7","10.1016/S0041-0101(00)00242-7","Article","English"
2002,"Depuration and anatomical distribution of the amnesic shellfish poisoning (ASP) toxin domoic acid in the king scallop Pecten maximus","Blanco, J; Acosta, CP; de la Puente, MB; Salgado, C","Aquatic Toxicology","60","1-2","10.1016/S0166-445X(01)00274-0","Article","English"
2008,"Profiles and levels of fatty acid esters of okadaic acid group toxins and pectenotoxins during toxin depuration. Part II: Blue mussels (Mytilus edulis) and flat oyster (Ostrea edulis)","Torgersen, T; Sandvik, M; Lundve, B; Lindegarth, S","Toxicon","52","3","10.1016/j.toxicon.2008.06.011","Article","English"
1994,"DIARRHETIC SHELLFISH POISON IN MUSSELS - COMPARISON OF METHODS OF DETECTION AND DETERMINATION OF THE EFFECTIVENESS OF DEPURATION","CROCI, L; TOTI, L; DEMEDICI, D; COZZI, L","International Journal of Food Microbiology","24","1-2","10.1016/0168-1605(94)90132-5","Note","English"
2008,"Profiles and levels of fatty acid esters of okadaic acid group toxins and pectenotoxins during toxin depuration, Part I: Brown crab (Cancer pagurus)","Torgersen, T; Lindegarth, S; Ungfors, A; Sandvik, M","Toxicon","52","3","10.1016/j.toxicon.2008.06.010","Article","English"
2019,"Paralytic Shellfish Toxin Uptake, Assimilation, Depuration, and Transformation in the Southeast Asian Green-Lipped Mussel (Perna viridis)","Andres, JK; Yñiguez, AT; Maister, JM; Turner, AD; Olano, DEB; Mendoza, J; Salvador-Reyes, L; Azanza, RV","Toxins","11","8","10.3390/toxins11080468","Article","English"
2006,"Foodweb transfer, accumulation, and depuration of microcystins, a cyanobacterial toxin in pumpkinseed sunfish (Lepomis gibbosus)","Smith, JL; Haney, JF","Toxicon","48","5","10.1016/j.toxicon.2006.07.009","Article","English"
2005,"Accumulation and depuration of paralytic shellfish poisoning toxins by laboratory cultured purple clam Hiatula diphos Linnaeus","Chou, HN; Huang, CP; Chen, CY","Toxicon","46","5","10.1016/j.toxicon.2005.07.010","Article","English"
1999,"Paralytic shellfish toxins in mussels and Alexandrium tamarense at Valdes Peninsula, Chubut, Patagonia, Argentina:: Kinetics of a natural depuration","Andrinolo, D; Santinelli, N; Otaño, S; Sastre, V; Lagos, N","Journal of Shellfish Research","18","1",NA,"Article","English"
2007,"The effect of size and age on depuration rates of diarrhetic shellfish toxins (DST) in mussels (Mytilus edulis L.)","Duinker, A; Bergslien, M; Strand, O; Olseng, CD; Svardal, A","Harmful Algae","6","2","10.1016/j.hal.2006.10.003","Article","English"
2020,"Domoic acid depuration by intertidal bivalves fed on toxin-producing Pseudo-nitzschia multiseries","Jennings, ED; Parker, MS; Simenstad, CA","Toxicon-X","6",NA,"10.1016/j.toxcx.2020.100027","Article","English"
2018,"Accumulation of Dinophysis Toxins in Bivalve Molluscs","Blanco, J","Toxins","10","11","10.3390/toxins10110453","Review","English"
1995,"UPTAKE AND DEPURATION OF THE HEPTAPEPTIDE TOXIN MICROCYSTIN-LR IN MYTILUS-GALLOPROVINCIALIS","VASCONCELOS, VM","Aquatic Toxicology","32","2-3","10.1016/0166-445X(94)00085-5","Article","English"
2006,"Depuration of domoic acid from different body compartments of the king scallop Pecten maximus grown in raft culture and natural bed","Blanco, J; Acosta, CP; Marino, C; Muñiz, S; Martín, H; Moroño, A; Correa, J; Arévalo, F; Salgado, C","Aquatic Living Resources","19","3","10.1051/alr:2006026","Article","English"
2014,"Uptake, transfer and elimination kinetics of paralytic shellfish toxins in common octopus (Octopus vulgaris)","Lopes, VM; Baptista, M; Repolho, T; Rosa, R; Costa, PR","Aquatic Toxicology","146",NA,"10.1016/j.aquatox.2013.11.011","Article","English"
2009,"Accumulation and depuration of pectenotoxins in brown crab Cancer pagurus","Li, ZX","Chinese Journal of Oceanology and Limnology","27","2","10.1007/s00343-009-9109-z","Article","English"
2020,"Paralytic shellfish toxin uptake, tissue distribution, and depuration in the Southern Rock Lobster Jasus edwardsii Hutton","Turnbull, A; Malhi, N; Seger, A; Harwood, T; Jolley, J; Fitzgibbon, Q; Hallegraeff, G","Harmful Algae","95",NA,"10.1016/j.hal.2020.101818","Article","English"
2010,"Depuration kinetics of paralytic shellfish toxins in Mytilus galloprovincialis exposed to Gymnodinium catenatum: laboratory and field experiments","Botelho, MJ; Vale, C; Mota, AM; Gonçalves, MDSS","Journal of Environmental Monitoring","12","12","10.1039/c0em00202j","Article","English"
2023,"Effect of the antioxidant N-acetylcysteine on the depuration of the amnesic shellfish poisoning toxin, domoic acid, in the digestive gland of the king scallop Pecten maximus","Vanmaldergem, J; García-Corona, JL; Deléglise, M; Fabioux, C; Hegaret, H","Aquatic Living Resources","36",NA,"10.1051/alr/2023011","Article","English"
2003,"Field depuration and biotransformation of paralytic shellfish toxins in scallop Chlamys nobilis and green-lipped mussel Perna viridis","Choi, MC; Hsieh, DPH; Lam, PKS; Wang, WX","Marine Biology","143","5","10.1007/s00227-003-1148-y","Article","English"
2021,"Shellfish Toxin Uptake and Depuration in Multiple Atlantic Canadian Molluscan Species: Application to Selection of Sentinel Species in Monitoring Programs","Rourke, WA; Justason, A; Martin, JL; Murphy, CJ","Toxins","13","2","10.3390/toxins13020168","Article","English"
2004,"Analysis of the importance of lipid breakdown for elimination of okadaic acid (diarrhetic shellfish toxin) in mussels, Mytilus edulis:: results from a field study and a laboratory experiment","Svensson, S; Förlin, L","Aquatic Toxicology","66","4","10.1016/j.aquatox.2003.11.002","Article","English"
2020,"Response of fatty acids and lipid metabolism enzymes during accumulation, depuration and esterification of diarrhetic shellfish toxins in mussels (Mytilus galloprovincialis)","Qiu, JB; Ji, Y; Fang, Y; Zhao, MY; Wang, SQ; Ai, QH; Li, AF","Ecotoxicology and Environmental Safety","206",NA,"10.1016/j.ecoenv.2020.111223","Article","English"
2017,"Effects of depuration on histopathological changes in tilapia (Oreochromis niloticus) after exposure to cylindrospermopsin","Guzmán-Guillén, R; Ortega, AIP; Moreno, IM; Ríos, V; Moyano, R; Blanco, A; Vasconcelos, V; Cameán, AM","Environmental Toxicology","32","4","10.1002/tox.22326","Article","English"
2006,"Accumulation and depuration profiles of PSP toxins in the short-necked clam Tapes japonica fed with the toxic dinoflagellate Alexandrium catenella","Samsur, M; Yamaguchi, Y; Sagara, T; Takatani, T; Arakawa, O; Noguchi, T","Toxicon","48","3","10.1016/j.toxicon.2006.06.002","Article","English"
2015,"Warm temperature acclimation impacts metabolism of paralytic shellfish toxins from Alexandrium minutum in commercial oysters","Farrell, H; Seebacher, F; O'Connor, W; Zammit, A; Harwood, DT; Murray, S","Global Change Biology","21","9","10.1111/gcb.12952","Article","English"
2014,"Effects of depuration on oxidative biomarkers in tilapia (Oreochromis niloticus) after subchronic exposure to cyanobacterium producing cylindrospermopsin","Guzmán-Guillén, R; Prieto, AI; Moreno, I; Ríos, V; Vasconcelos, VM; Cameán, AM","Aquatic Toxicology","149",NA,"10.1016/j.aquatox.2014.01.026","Article","English"
2019,"Spatial variability and depuration of tetrodotoxin in the bivalve Paphies australis from New Zealand","Biessy, L; Smith, KF; Harwood, DT; Boundy, MJ; Hawes, I; Wood, SA","Toxicon-X","2",NA,"10.1016/j.toxcx.2019.100008","Article","English"
