date,species,toxicity
9/10/25,Digestive Gland,900
9/10/25,Digestive Gland,1100
9/10/25,Digestive Gland,1200
9/10/25,Digestive Gland,1500
9/10/25,Digestive Gland,950
9/12/25,Digestive Gland,1000
9/12/25,Digestive Gland,1300
9/12/25,Digestive Gland,2000
9/12/25,Digestive Gland,1800
9/12/25,Digestive Gland,1600
9/14/25,Digestive Gland,3000
9/14/25,Digestive Gland,3500
9/14/25,Digestive Gland,4000
9/14/25,Digestive Gland,4500
9/14/25,Digestive Gland,4200
9/21/25,Digestive Gland,1000
9/21/25,Digestive Gland,800
9/21/25,Digestive Gland,950
9/21/25,Digestive Gland,1100
9/21/25,Digestive Gland,1050
9/28/25,Digestive Gland,500
9/28/25,Digestive Gland,550
9/28/25,Digestive Gland,600
10/12/25,Digestive Gland,200
10/12/25,Digestive Gland,250
11/12/25,Digestive Gland,300
11/12/25,Digestive Gland,350
11/12/25,Digestive Gland,400
9/10/25,Adductor Muscle,0
9/10/25,Adductor Muscle,10
9/10/25,Adductor Muscle,20
9/10/25,Adductor Muscle,25
9/10/25,Adductor Muscle,30
9/12/25,Adductor Muscle,20
9/12/25,Adductor Muscle,25
9/12/25,Adductor Muscle,30
9/14/25,Adductor Muscle,150
9/14/25,Adductor Muscle,160
9/14/25,Adductor Muscle,170
9/21/25,Adductor Muscle,80
9/21/25,Adductor Muscle,90
9/28/25,Adductor Muscle,30
9/28/25,Adductor Muscle,35
9/28/25,Adductor Muscle,40
9/28/25,Adductor Muscle,45
10/12/25,Adductor Muscle,20
10/12/25,Adductor Muscle,25
11/12/25,Adductor Muscle,10
11/12/25,Adductor Muscle,20
