"year","title","authors","source","volume","issue","doi","document_type","language"
2024,"Marine toxins in environment: Recent updates on depuration techniques","Bian, Y; Feng, XS; Zhang, Y; Du, C; Wen, YQ","Ecotoxicology and Environmental Safety","284",NA,"10.1016/j.ecoenv.2024.116990",NA,NA
2023,"BIOTOXIN UPTAKE, RETENTION, AND DEPURATION TRENDS IN PURPLE-HINGED ROCK SCALLOPS, CRASSADOMA GIGANTEA (GRAY 1825)","Houle, KC; Bill, BD; Christy, A; Davis, JP; Leighfield, TA; Morton, SL; Shumway, SE; Trainer, VL; Vadopalas, B; Hudson, B","Journal of Shellfish Research","42","2","10.2983/035.042.0209",NA,NA
2015,"Depuration of paralytic shellfish toxins in Japanese scallop (Patinopecten yessoensis) in natural environment","Song, T; Liu, L; Song, XP; Liang, YB; Zhuang, GH","Acta Oceanologica Sinica","34","12","10.1007/s13131-015-0764-y",NA,NA
2013,"Accumulation and depuration of paralytic shellfish poisoning toxins in the oyster Ostrea rivularis Gould - Chitosan facilitates the toxin depuration","Xie, WC; Liu, XL; Yang, XH; Zhang, CH; Bian, ZY","Food Control","30","2","10.1016/j.foodcont.2012.07.035",NA,NA
2014,"Uptake, transfer and elimination kinetics of paralytic shellfish toxins in common octopus (Octopus vulgaris)","Lopes, VM; Baptista, M; Repolho, T; Rosa, R; Costa, PR","Aquatic Toxicology","146",NA,"10.1016/j.aquatox.2013.11.011",NA,NA
2011,"Bioaccumulation and depuration of paralytic shellfish toxin in Perna viridis and Meretrix meretrix from Mumbai, India","Sharma, R; Venkateshvaran, K; Purushothaman, CS","Indian Journal of Geo-Marine Sciences","40","4",NA,NA,NA
2010,"The copepod Calanus finmarchicus: A potential vector for trophic transfer of the marine algal biotoxin, domoic acid","Leandro, LF; Teegarden, GJ; Roth, PB; Wang, ZH; Doucette, GJ","Journal of Experimental Marine Biology and Ecology","382","2","10.1016/j.jembe.2009.11.002",NA,NA
2012,"Uptake and release of paralytic shellfish toxins by the clam Ruditapes decussatus exposed to Gymnodinium catenatum and subsequent depuration","Botelho, MJ; Vale, C; Grilo, RV; Ferreira, JG","Marine Environmental Research","77",NA,"10.1016/j.marenvres.2012.01.002",NA,NA
2003,"Depuration of Okadaic acid (Diarrhetic Shellfish Toxin) in mussels, Mytilus edulis (Linnaeus), feeding on different quantities of nontoxic algae","Svensson, S","Aquaculture","218","1-4","10.1016/S0044-8486(02)00504-5",NA,NA
2015,"Warm temperature acclimation impacts metabolism of paralytic shellfish toxins from Alexandrium minutum in commercial oysters","Farrell, H; Seebacher, F; O'Connor, W; Zammit, A; Harwood, DT; Murray, S","Global Change Biology","21","9","10.1111/gcb.12952",NA,NA
2025,"Toxin uptake and slowed reflexes by the marine snail Lunella undulata following exposure to paralytic shellfish toxin producing Alexandrium catenella","Seger, A; Brady, J; Vandeveer, KS; Jordan, T; Trotter, AJ; Robinson, G; Keane, JP; Turnbull, A","Harmful Algae","147",NA,"10.1016/j.hal.2025.102868",NA,NA
2019,"Paralytic Shellfish Toxin Uptake, Assimilation, Depuration, and Transformation in the Southeast Asian Green-Lipped Mussel (Perna viridis)","Andres, JK; Yñiguez, AT; Maister, JM; Turner, AD; Olano, DEB; Mendoza, J; Salvador-Reyes, L; Azanza, RV","Toxins","11","8","10.3390/toxins11080468",NA,NA
2008,"Profiles and levels of fatty acid esters of okadaic acid group toxins and pectenotoxins during toxin depuration, Part I: Brown crab (Cancer pagurus)","Torgersen, T; Lindegarth, S; Ungfors, A; Sandvik, M","Toxicon","52","3","10.1016/j.toxicon.2008.06.010",NA,NA
2008,"Profiles and levels of fatty acid esters of okadaic acid group toxins and pectenotoxins during toxin depuration. Part II: Blue mussels (Mytilus edulis) and flat oyster (Ostrea edulis)","Torgersen, T; Sandvik, M; Lundve, B; Lindegarth, S","Toxicon","52","3","10.1016/j.toxicon.2008.06.011",NA,NA
2023,"Cation-Exchange Resin Applied to Paralytic Shellfish Toxins Depuration from Bivalves Exposed to Gymnodinium catenatum","Leal, JF; Bombo, G; Amado, PSM; Pereira, H; Cristiano, MLS","Foods","12","4","10.3390/foods12040768",NA,NA
1995,"UPTAKE AND DEPURATION OF THE HEPTAPEPTIDE TOXIN MICROCYSTIN-LR IN MYTILUS-GALLOPROVINCIALIS","VASCONCELOS, VM","Aquatic Toxicology","32","2-3","10.1016/0166-445X(94)00085-5",NA,NA
