"","paper_id","biotoxin","comm_name","sci_name_orig","sci_name","type","class","order","family","genus","species","condition"
"1",160,"Amnesic","Atlantic sea scallop","Placopecten magellanicus","Placopecten magellanicus","invert","Bivalvia","Ostreoida","Pectinidae","Placopecten","magellanicus","Amnesic"
"2",160,"Amnesic","Blue mussel","Mytilus edulis","Mytilus edulis","invert","Bivalvia","Mytiloida","Mytilidae","Mytilus","edulis","Amnesic"
"3",51,"Amnesic","Blue mussel","Mytilus edulis","Mytilus edulis","invert","Bivalvia","Mytiloida","Mytilidae","Mytilus","edulis","Amnesic"
"4",71,"Amnesic","Coho salmon","Oncorhynchus kisutch","Oncorhynchus kisutch","fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","kisutch","Amnesic"
"5",53,"Amnesic","Common octopus","Octopus vulgaris","Octopus vulgaris","invert","Cephalopoda","Octopoda","Octopodidae","Octopus","vulgaris","Amnesic"
"6",22,"Amnesic","Copepods","Calanus spp",NA,NA,NA,NA,NA,NA,NA,"Amnesic"
"7",79,"Amnesic","Dungeness crab","Cancer magister","Metacarcinus magister","invert","Malacostraca","Decapoda","Cancridae","Metacarcinus","magister","Amnesic"
"8",174,"Amnesic","King scallop","Pecten maximus","Pecten maximus","invert","Bivalvia","Ostreoida","Pectinidae","Pecten","maximus","Amnesic"
"9",165,"Amnesic","King scallop","Pecten maximus","Pecten maximus","invert","Bivalvia","Ostreoida","Pectinidae","Pecten","maximus","Amnesic"
"10",60,"Amnesic","King scallop","Pecten maximus","Pecten maximus","invert","Bivalvia","Ostreoida","Pectinidae","Pecten","maximus","Amnesic"
"11",151,"Amnesic","King scallop","Pecten maximus","Pecten maximus","invert","Bivalvia","Ostreoida","Pectinidae","Pecten","maximus","Amnesic"
"12",182,"Amnesic","King scallop","Pecten maximus","Pecten maximus","invert","Bivalvia","Ostreoida","Pectinidae","Pecten","maximus","Amnesic"
"13",72,"Amnesic","King scallop","Pecten maximus","Pecten maximus","invert","Bivalvia","Ostreoida","Pectinidae","Pecten","maximus","Amnesic"
"14",140,"Amnesic","King scallop","Pecten maximus","Pecten maximus","invert","Bivalvia","Ostreoida","Pectinidae","Pecten","maximus","Amnesic"
"15",52,"Amnesic","Oysters",NA,NA,NA,NA,NA,NA,NA,NA,"Amnesic"
"16",52,"Amnesic","mussels",NA,NA,NA,NA,NA,NA,NA,NA,"Amnesic"
"17",100,"Amnesic","Pacific oyster","Crassostrea gigas","Crassostrea gigas","invert","Bivalvia","Ostreoida","Ostreidae","Crassostrea","gigas","Amnesic"
"18",166,"Amnesic","Pacific oyster","Crassostrea gigas","Crassostrea gigas","invert","Bivalvia","Ostreoida","Ostreidae","Crassostrea","gigas","Amnesic"
"19",166,"Amnesic","California mussel","Mytilus californianus","Mytilus californianus","invert","Bivalvia","Mytiloida","Mytilidae","Mytilus","californianus","Amnesic"
"20",185,"Amnesic","Pacific oyster","Crassostrea gigas","Crassostrea gigas","invert","Bivalvia","Ostreoida","Ostreidae","Crassostrea","gigas","Amnesic"
"21",185,"Amnesic","Farrer's scallop","Chlamys farreri","Chlamys farreri","invert","Bivalvia","Ostreoida","Pectinidae","Chlamys","farreri","Amnesic"
"22",185,"Amnesic","East Asia surf clam","Mactra veneriformis","Mactra quadrangularis","invert","Bivalvia","Veneroida","Mactridae","Mactra","quadrangularis","Amnesic"
"23",185,"Amnesic","Blue mussel","Mytilus edulis","Mytilus edulis","invert","Bivalvia","Mytiloida","Mytilidae","Mytilus","edulis","Amnesic"
"24",179,"Amnesic","Pacific razor clam","Siliqua patula","Siliqua patula","invert","Bivalvia","Veneroida","Pharidae","Siliqua","patula","Amnesic"
"25",55,"Amnesic","Peruivan calico scallop","Argopecten purpuratus","Argopecten purpuratus","invert","Bivalvia","Ostreoida","Pectinidae","Argopecten","purpuratus","Amnesic"
"26",113,"Amnesic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amnesic"
"27",131,"Amnesic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amnesic"
"28",171,"Amnesic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amnesic"
